 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Região e Ano
Período:2020
"Região";"2020";"Total"
"1 Região Norte";18672591;18672591
"2 Região Nordeste";57374243;57374243
"3 Região Sudeste";89012240;89012240
"4 Região Sul";30192315;30192315
"5 Região Centro-Oeste";16504303;16504303
"Total";211755692;211755692
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

